name,code_dgac,coordinates
Acapulco,ACA,"16°45'25.5512"" N  099°45'13.7525"" W"
Aguascalientes,AGU,"21°42'19.7529"" N  102°19'04.4297"" W"
Cancún,CUN,"21°02'33.87"" N  086°52'23.52"" W"
Chihuahua,CUU,"28°42'08.38"" N  105°57'46.67"" W"
Ciudad del Carmen,CME,"18°39'07.0717"" N  091°47'58.3557"" W"
Ciudad Juárez,CJS,"31°38'10.8961"" N  106°25'43.5439"" W"
Ciudad Obregón,CEN,"27°23'34.9637"" N  109°50'00.1824"" W"
Ciudad Victoria,CVM,"23°42'12.35"" N  098°57'23.20"" W"
Cozumel,CZM,"20°31'19.43"" N  086°55'45.40"" W"
Culiacán,CUL,"24°45'54.2156"" N  107°28'30.5471"" W"
Guadalajara,GDL,"20°31'18.61"" N  103°18'40.12"" W"
Guaymas,GYM,"27°58'09.5689"" N  110°55'25.3820 W"
Hermosillo,HMO,"29°05'43.96"" N  111°03'07.44"" W"
Ixtapa-Zihuatanejo,ZIH,"17°36'05.84"" N  101°27'37.98"" W"
La Paz,LAP,24°04'21.8895 N  110°21'45.1500 W
León,BJX,"20°59'35.9033"" N  101°28'51.4721"" W"
Los Mochis,LMM,"25°41'09.9202"" N  109°04'52.3225"" W"
Manzanillo,ZLO,"19°08'41.15 N  104°33'30.51"" W"
Matamoros,MAM,"25°46'15.02"" N  097°31'26.06"" W"
Mazatlán,MZT,"23°09'41.3446 N  106°15'52.4196"" W"
Mérida,MID,"20°55'48.09"" N  089°38'43.90"" W"
México,MEX,"19°26'11.027"" N  099°04'19.098"" W"
Mexicali,MXL,"32°37'50.4875"" N  115°14'30.8811"" W"
Monterrey,MTY,"25°46'33.09"" N  100°06'25"" W"
Morelia,MLM,"19°50'59.53"" N  101°01'31.35"" W"
Nuevo Laredo,NLD,"27°26'36.1139"" N  099°34'11.7097"" W"
Oaxaca,OAX,"16°59'54.9148"" N  096°43'33.7459"" W"
Puebla,PBC,"19°09'29.2995"" N  098°22'17.4080"" W"
Puerto Vallarta,PVR,"20°40'48.2614"" N  105°15'15.1228"" W"
Querétaro,QRO,"20°37'02.5485"" N  100°11'08.3827"" W"
Reynosa,REX,"26°00'30.9102"" N  098°13'41.6969"" W"
Saltillo,SLW,"25°32'46.01"" N  100°55'47.32"" W"
San José del Cabo,SJC,"23°09'07.46"" N  109°43'14.69"" W"
San Luis Potosí,SLP,"22°15'15.3422"" N  100°55'50.7378"" W"
Tampico,TAM,"22°17'23.3587"" N  097°51'51.8921"" W"
Tapachula,TAP,"14°47'39.6641"" N  092°22'11.8888"" W"
Tijuana,TIJ,"32°32'27.8059"" N  116°58'11.8547"" W"
Toluca,TLC,"19°20'13.5067"" N  099°33'57.7269"" W"
Torreón,TRC,"25°33'50.27"" N  103°24'30.27"" W"
Tuxtla Gutiérrez,TGZ,"16°33'42.5578"" N  93°01'33.8931"" W"
Veracruz,VER,"19°08'35.64"" N  096°11'20.87"" W"
Villahermosa,VSA,"17°59'49.2607"" N  92°48'53.3329"" W"
