id,name,estado,municipio,tipo_de_operacion,altitude,coordinates,fecha_de_vencimiento
HP 017,FARALLON,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,2354.00,19 19 21.7 N 99 12 15.7 W,08/02/2032
HP 026,HOSPITAL ANGELES DE LAS LOMAS,ESTADO DE MEXICO,HUIXQUILUCAN,DIURNO,2560.00,19 23 36 N 99 16 56.5 W,12/03/2045
HP 033,CABO DE PEÑAS,ESTADO DE MEXICO,HUIXQUILUCAN,DIURNO,2526.50,19 24 7.96 N 99 16 30.32 W,03/03/2025
HP 046,PLAZA CORPORATIVO BANAMEX,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO Y NOCTURNO,2563.50,19 22 26.55 N 99 15 31.9 W,23/06/2019
HP 066,TERRACOTA CIEN,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,2686.10,19 21 31.38 N 99 16 33.86 W,23/06/2019
HP 067,TORRE GAN,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,2302.00,19 25 41.76 N 99 10 51.09 W,25/02/2030
HP 090,HUMBERTO LOBO MORALES,NUEVO LEÓN,GARZA GARCIA,DIURNO,646.00,25 38 34.62 N 100 21 35.88 W,23/03/2031
HP 096,PARQUE REFORMA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,2330.00,19 23 37.4 N 99 14 21 W,09/05/2019
HP 098,PUEBLA INVERSIONISTA,CIUDAD DE MÉXICO,MAGDALENA CONTRERAS,DIURNO,2360.00,19 19 46.88 N 99 12 50.94 W,07/06/2033
HP 103,TORRE EJECUTIVA PEMEX,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2460.00,19 26 20.74 N 99 10 29.43 W,06/03/2045
HP 121,NUTEC,NUEVO LEÓN,MONTERREY,DIURNO,786.00,25 41 20.1 N 100 30 24.1 W,25/07/2031
HP 183,CORPO SANTA FE 505,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,2736.65,19 21 28.5 N 99 16 28.5 W,09/05/2019
HP 200,OMEGA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2353.00,19 25 43.2 N 99 11 59.9 W,30/03/2030
HP 204,EL UNIVERSAL,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,2267.00,19 26 3.68 N 99 8 58.68 W,15/04/2031
HP 216,ISSSTE TULTITLAN,ESTADO DE MEXICO,TULTITLAN,DIURNO,2267.00,19 37 35.3 N 99 9 48.4 W,11/03/2045
HP 245,HOSPITAL ZAMBRANO HELLION,NUEVO LEÓN,SAN PEDRO GARZA GARCÍA ,DIURNO,665.00,25 38 48.6 N 100 20 3.2 W,28/03/2032
HP 246,ITAM SANTA TERESA,CIUDAD DE MÉXICO,MAGDALENA CONTRERAS,DIURNO,2550.00,19 18 40.5 N 99 13 24.1 W,08/02/2033
HP 264,GNP,CIUDAD DE MÉXICO,COYOACAN,DIURNO,2240.00,19 20 48 N 99 7 42.4 W,08/03/2033
HP 317,FEMSA,NUEVO LEÓN,MONTERREY,DIURNO Y NOCTURNO,578.00,25 41 43.09 N 100 19 2.92 W,16/05/2032
HP 336,HELIPUERTO TECNOPARQUE,CIUDAD DE MÉXICO,AZCAPOTZALCO,DIURNO,2272.00,19 30 21.4 N 99 10 45.1 W,11/03/2031
HP 349,LA PRENSA,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,2287.00,19 26 13.88 N 99 8 53.1 W,01/10/2030
HP 367,TORRE DEL BOSQUE,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,2369.00,19 25 42.7 N 99 12 16.6 W,23/05/2019
HP 406,ITAM RIO HONDO,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,2550.00,19 20 42.75 N 99 12 3.15 W,26/07/2033
HP 437,RANCHO LA FORTUNA,PUEBLA,PUEBLA,DIURNO,2120.00,19 2 30.9 N 98 15 39.8 W,09/05/2019
HP 441,TELEVISA SAN ANGEL,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO Y NOCTURNO,2369.00,19 20 39.22 N 99 12 14.53 W,03/02/2031
HP 477,ALSAVISION,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,2293.00,19 26 12 N 99 12 5 W,05/08/2028
HP 495,PALACIO DE HIERRO DURANGO,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,2267.00,19 25 7.46 N 99 10 8.66 W,26/07/2033
HP 538,IRLA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2552.00,19 23 39.17 N 99 14 21.22 W,01/09/2029
HP 539,VERTIENTES,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2310.00,19 24 29.95 N 99 13 52.59 W,23/04/2030
HP 560,PLAZA CUICUILCO,CIUDAD DE MÉXICO,TLALPAN,DIURNO,2332.00,19 17 55 N 99 11 0 W,23/08/2028
HP 575,CENTRO BANCOMER,CIUDAD DE MÉXICO,BENITO JUAREZ,DIURNO,2264.00,19 21 40.9 N 99 10 6.5 W,06/11/2029
HP 662,CASA BLANCA,QUINTANA ROO,FELIPE CARRILLO PUERTO,DIURNO,3.00,19 36 9 N 87 24 9 W,13/01/2029
HP 686,PUNTA ESTRELLA,QUINTANA ROO,FELIPE CARRILLO PUERTO,DIURNO,2.00,19 32 25 N 87 25 29 W,16/10/2030
HP 696,ORGANIZACION EDITORIAL MEXICANA,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,2252.00,19 26 18.3 N 99 9 35.1 W,16/08/2031
HP 697,CENTRO CORPORATIVO SANTANDER,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,2498.00,19 22 33.6 N 99 15 21.3 W,11/03/2031
HP 735,PARK PLAZA I,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO Y NOCTURNO,2638,19 21 52.8 N 99 15 34.1 W,12/06/2029
HP 737,PESCA AZTECA,SINALOA,MAZATLÁN,DIURNO,10.00,23 12 51 N 106 23 39 W,24/01/2033
HP 748,FUNDICION RESIDENCIAL,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2271.00,19 25 38.85 N 99 11 21.43 W,02/05/2029
HP 756,PINFRA (ANTES TRIBASA),CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,2494.00,19 23 22.08 N 99 15 6.78 W,15/08/2033
HP 794,LA PRIMAVERA,JALISCO,ZAPOPAN,DIURNO,1680.00,21 41 13 N 103 27 27 W,22/08/2043
HP 806,TORRE OPTIMA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2398.00,19 25 48.13 N 99 12 42.04 W,06/04/2030
HP 828,TORRE MAYOR,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,2474.00,19 25 27.4 N 99 10 31.05 W,30/01/2029
HP 854,AGUA,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,2366.00,19 18 54.5 N 99 12 20.03 W,01/10/2030
HP 1024,CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE,CIUDAD DE MÉXICO,BENITO JUAREZ,DIURNO,2261.00,19 22 22.8 N 99 10 16.6 W,15/04/2046
HP 1049,OPCION SANTA FE III,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,2627.00,19 21 27.9 N 99 16 30.15 W,09/03/2031
HP 1132,RESIDENCIAL DEL BOSQUE II,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,2275.00,19 25 46 N 99 11 3.4 W,07/11/2029
