id,name,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,radius,lim_sup,lim_inf,days,hours,flights_affected
MMP-1,LOS PINOS,19 25 35.85N  099 12 07.48W,19 25 25.50N  099 10 39.30W,19 25 14.00N  099 10 37.00W,19 24 14.00N  099 11 14.00W,19 24 11.38N  099 11 14.87W,19 24 08.04N  099 11 51.51W,19 24 07.30N  099 12 00.60W,19 25 35.85N  099 12 07.48W,,,,,,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-2,MILITAR,19 27 55N  099 13 30W,19 27 42N  099 12 44W,19 27 13N  099 13 08W,19 26 37N  099 12 45W,19 26 20N  099 12 44W,19 26 19N  099 12 51W,19 26 06N  099 12 43W,19 25 28N  099 14 04W,19 26 03N  099 15 00W,19 26 24N  099 14 54W,19 27 30N  099 14 14W,19 27 55N  099 13 30W,,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-3,SANTA FE,19 23 25N  099 14 23W,19 23 28N  099 13 37W,19 23 00N  099 13 37W,19 23 00N  099 14 23W,19 23 25N  099 14 23W,,,,,,,,,15000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-6,ZOCALO,19 25 59N  099 08 02W,19 25 58N  099 07 48W,19 25 50N  099 07 49W,19 25 52N  099 08 03W,19 25 59N  099 08 02W,,,,,,,,,8400 FT AMSL,GND,CONTINUO,H24,VFR
MMP-7,IXTAPALAPA,19 21 30N  099 00 37W,19 21 25N  099 00 34W,19 21 11N  099 00 46W,19 21 16N  099 00 51W,19 21 30N  099 00 37W,,,,,,,,,8400 FT AMSL,GND,CONTINUO,H24,VFR
MMR-8,XOCHIMILCO,19 19 20N  099 08 18W,19 19 45N  099 08 40W,19 19 48N  099 08 26W,19 19 20N  099 08 18W,,,,,,,,,,9500 FT AMSL,GND,CONTINUO,H24,VFR
MMP-9,RECLUSORIO NORTE,19 32 49N  099 08 51W,,,,,,,,,,,,463,8000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-10,RECLUSORIO ORIENTE,19 19 24N  099 04 03W,,,,,,,,,,,,463,8000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-11,PRIMER CUADRO,19 25 26N  099 08 33W,19 26 35N  099 08 20W,19 26 32N  099 07 24W,19 25 19N  099 07 35W,19 25 26N  099 08 33W,,,,,,,,,18000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR/IFR
MMP-12,SAN LAZARO,19 26 35N  099 08 20W,19 26 32N  099 07 24W,19 26 00N  099 06 55W,19 25 30N  099 06 55W,19 25 19N  099 07 35W,19 25 26N  099 08 33W,19 26 35N  099 08 20W,,,,,,,18000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR/IFR
MMP-13,RECLUSORIO SUR,19 13 54N  099 07 19W,,,,,,,,,,,,463,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-14,CONTEL,19 22 29N  099 03 50W,19 21 49N  099 04 10W,19 21 53N  099 03 35W,19 22 29N  099 03 35W,19 22 29N  099 03 50W,,,,,,,,,8500 FT AMSL,GND,CONTINUO,H24,VFR
MMP-16,ARMADA,19 18 58N  099 07 16W,19 19 00N  099 06 24W,19 19 12N  099 06 48W,19 19 15N  099 07 20W,19 19 25N  099 07 42W,19 19 15N  099 07 51W,19 18 58N  099 07 16W,,,,,,,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-17,ARMADA,19 22 47N  099 03 40W,19 22 59N  099 03 38W,19 22 52N  099 03 18W,19 22 43N  099 03 20W,19 22 47N  099 03 40W,,,,,,,,,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-18,ARMADA,19 17 21N  099 06 21W,19 17 28N  099 06 24W,19 17 31N  099 06 21W,19 17 39N  099 06 03W,19 17 21N  099 06 21W,,,,,,,,,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-19,PEMEX,19 21 56N  099 12 49W,,,,,,,,,,,,463,8300 FT AMSL,GND,CONTINUO,H24,VFR
MMP-20,VERGEL,19 18 52N  099 04 14W,19 18 28N  099 05 03W,19 18 32N  099 05 22W,19 18 46N  099 05 19W,19 18 50N  099 05 10W,19 18 52N  099 04 59W,19 18 52N  099 04 14W,,,,,,,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-21,HANGAR,19 25 24N  099 04 38W,19 25 31N  099 04 36W,19 25 37N  099 04 26W,19 25 21N  099 04 29W,19 25 23N  099 04 37W,19 25 24N  099 04 38W,,,,,,,,8000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-100,TIZAYUCA,19 43 00N  098 59 00W,19 41 00N  099 09 00W,19 53 00N  099 13 00W,20 04 00N  099 14 00W,20 08 00N  098 57 00W,20 08 00N  098 45 00W,20 05 00N  098 22 00W,19 44 00N  098 34 00W,19 43 00N  098 51 00W,19 43 00N  098 59 00W,,,,10000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-101,SECTOR W,21 04 00N 099 36 00W,20 39 00N 100 03 00W,20 16 00N 099 21 00W,20 16 00N  099 19 00W,21 04 00N  099 36 00W,,,,,,,,,FL 520,GND,POR NOTAM,POR NOTAM,VFR/IFR
MMR-101,SECTOR E,21 04 00N  099 36 00W,21 10 00N  099 29 00W,21 10 00N  099 05 00W,20 17 00N  099 08 00W,20 16 00N  099 19 00W,21 04 00N  099 36 00W,,,,,,,,FL 200,GND,POR NOTAM,POR NOTAM,VFR/IFR
MMR-102,TEHUACAN,19 41 00N  098 11 00W,19 46 00N  097 33 00W,19 35 00N  097 14 00W,18 28 00N  097 23 00W,17 54 00N  097 41 00W,18 23 00N  098 30 00W,18 36 00N  098 26 00W,19 09 00N  098 06 00W,19 41 00N  098 11 00W,,,,,FL 520,GND,POR NOTAM,POR NOTAM,VFR/IFR
MMR-103,TACAMBARO,19 13 00N  101 42 00W,18 09 00N  100 39 00W,18 33 00N  099 46 00W,18 40 00N  099 46 00W,19 18 00N  099 49 00W,19 30 00N  100 55 00W,19 13 00N  101 42 00W,,,,,,,FL 520,GND,POR NOTAM,POR NOTAM,VFR/IFR
